post_id,title,category,score,num_comments,author,collected_at
49630931,iPhone Duo,technology,1140,1984,thecosmicfrog,2026-09-10T07:13:45.688414+00:00
49637385,Show HN: What if the speed of light was 5 km/h?,entertainment,235,96,dmitrybrant,2026-09-10T07:13:46.917913+00:00
49621018,Larger Pacific Striped Octopus,science,25,9,olalonde,2026-09-10T07:13:47.987475+00:00
49587465,ESP32 Bit Pirate Hardware Hacking Kit with Web Tools That Speaks Every Protocol,technology,77,12,geotp,2026-09-10T07:13:50.328070+00:00
49629886,Growing proof that autonomous cars save lives,science,318,530,bookofjoe,2026-09-10T07:13:56.324962+00:00
49639090,DeepSeek v4.1 Flash,technology,57,9,Liwink,2026-09-10T07:13:57.670368+00:00
49637435,Training a 3.8B LLM to 0.384 CORE for $998 – Hugo Vergnes,technology,52,8,Anon84,2026-09-10T07:13:58.923273+00:00
49623398,Show HN: Compute polynomials twice as fast,entertainment,69,24,thomasahle,2026-09-10T07:14:02.605241+00:00
49630151,iPhone 18 Pro and iPhone 18 Pro Max,technology,347,366,meetpateltech,2026-09-10T07:14:05.055669+00:00
49637395,A Stupid Idea for AI Alignment We Came with by Looking at Specification Gaming,technology,57,34,cpeterso,2026-09-10T07:14:07.547356+00:00
49638353,OpenAI might have stolen another major proof,technology,126,29,tamnd,2026-09-10T07:14:09.074752+00:00
49630026,Qwen 3.8 follows GPT-5.5 Pro reasoning prefills,technology,205,81,wsxiaoys,2026-09-10T07:14:11.905405+00:00
49630566,Apple Watch Series 12,technology,248,301,Lealen,2026-09-10T07:14:14.692939+00:00
49592799,Aardman (Wallace and Gromit) Is Selling Its Original Movie Puppets,entertainment,34,7,Gaishan,2026-09-10T07:14:16.103430+00:00
49624856,How I advertise malicious software on Google Ads,technology,392,237,xlii,2026-09-10T07:14:19.116337+00:00
49628576,GNU Radio in the browser,technology,194,25,kristianpaul,2026-09-10T07:14:23.808072+00:00
49628429,Planet Labs' open satellite feed,science,171,30,marklit,2026-09-10T07:14:25.217441+00:00
49635384,Blizzard Workers Win Historic Union Contract,worldnews,182,65,dbg31415,2026-09-10T07:14:27.682399+00:00
49584361,Bespoke: A programming language for people who say please,technology,158,39,birdculture,2026-09-10T07:14:28.992084+00:00
49636476,Tor VPN Beta: What we've learned building our own VPN for Android from scratch,technology,30,0,woofcat,2026-09-10T07:14:31.609327+00:00
49573629,Microsoft says email spammers are adopting ASCII smuggling,technology,57,29,utiiiD,2026-09-10T07:14:34.143638+00:00
49638622,OpenAI have no mathematicians capable of understanding what they put out,technology,36,11,doener,2026-09-10T07:14:35.397145+00:00
49626373,What will our economic future look like?,worldnews,202,380,oumua_don17,2026-09-10T07:14:42.238013+00:00
49583251,Seismic Isolation,science,11,0,pillars,2026-09-10T07:14:43.287200+00:00
49630606,"Show HN: Self-hosted company OS, Claude Code and Codex agents in departments",technology,44,10,dimitrismrtzs,2026-09-10T07:14:46.524698+00:00
49629865,Why Emacs Consult async searches feel slow and how to speed them up,technology,54,20,mpweiher,2026-09-10T07:14:47.574091+00:00
49638981,DeepSeek-v4.1-Exp,technology,12,2,nil1511,2026-09-10T07:14:49.704431+00:00
49629868,Procedural Graphs: Self-Evolving Execution Structures for LLM Agents,technology,53,15,omarsar,2026-09-10T07:14:50.764497+00:00
49615537,Muse – Meta’s personal AI agent,technology,642,715,yks,2026-09-10T07:14:51.873355+00:00
49622561,How GPT‑5.6 Sol helps run quantum computing experiments,science,146,107,theanonymousone,2026-09-10T07:14:54.035004+00:00
